"Date" "Time" "Global_active_power" "Global_reactive_power" "Voltage" "Global_intensity" "Sub_metering_1" "Sub_metering_2" "Sub_metering_3"
"36" "1/2/2007" "00:35:00" 0.336 0.126 242.59 1.4 0 0 0
"37" "1/2/2007" "00:36:00" 0.332 0.126 242.91 1.4 0 0 0
"38" "1/2/2007" "00:37:00" 0.332 0.13 243.51 1.4 0 0 0
"39" "1/2/2007" "00:38:00" 0.33 0.13 243.65 1.4 0 0 0
"40" "1/2/2007" "00:39:00" 0.328 0.128 243.37 1.4 0 0 0
"41" "1/2/2007" "00:40:00" 0.328 0.13 243.79 1.4 0 0 0
"42" "1/2/2007" "00:41:00" 0.326 0.128 243.23 1.4 0 0 0
"43" "1/2/2007" "00:42:00" 0.324 0.126 242.98 1.4 0 0 0
"44" "1/2/2007" "00:43:00" 0.322 0.126 242.95 1.4 0 0 0
"45" "1/2/2007" "00:44:00" 0.322 0.124 242.6 1.4 0 0 0
"46" "1/2/2007" "00:45:00" 0.322 0.128 243.33 1.4 0 0 0
"47" "1/2/2007" "00:46:00" 0.318 0.118 241.32 1.4 0 0 0
"48" "1/2/2007" "00:47:00" 0.316 0.116 240.93 1.4 0 0 0
"49" "1/2/2007" "00:48:00" 0.316 0.116 240.93 1.4 0 0 0
"50" "1/2/2007" "00:49:00" 0.274 0.058 240.36 1.2 0 0 0
"51" "1/2/2007" "00:50:00" 0.222 0 240.93 1 0 0 0
"52" "1/2/2007" "00:51:00" 0.222 0 240.83 1 0 0 0
"53" "1/2/2007" "00:52:00" 0.222 0 240.52 1 0 0 0
"54" "1/2/2007" "00:53:00" 0.224 0 241.45 1 0 0 0
"55" "1/2/2007" "00:54:00" 0.224 0 241.59 1 0 0 0
"56" "1/2/2007" "00:55:00" 0.226 0 242.55 1 0 0 0
"57" "1/2/2007" "00:56:00" 0.226 0 242.88 1 0 0 0
"58" "1/2/2007" "00:57:00" 0.226 0 242.63 1 0 0 0
"59" "1/2/2007" "00:58:00" 0.224 0 242.2 1 0 0 0
"60" "1/2/2007" "00:59:00" 0.224 0 241.84 1 0 0 0
"61" "1/2/2007" "01:00:00" 0.222 0 240.89 1 0 0 0
"62" "1/2/2007" "01:01:00" 0.222 0 240.86 1 0 0 0
"63" "1/2/2007" "01:02:00" 0.26 0 240.64 1.2 0 0 0
"64" "1/2/2007" "01:03:00" 0.298 0.088 240.72 1.2 0 0 0
"65" "1/2/2007" "01:04:00" 0.302 0.094 242.18 1.2 0 0 0
"66" "1/2/2007" "01:05:00" 0.302 0.096 242.66 1.2 0 0 0
"67" "1/2/2007" "01:06:00" 0.302 0.096 242.77 1.2 0 0 0
"68" "1/2/2007" "01:07:00" 0.3 0.096 242.6 1.2 0 0 0
"69" "1/2/2007" "01:08:00" 0.298 0.094 242.38 1.2 0 0 0
"70" "1/2/2007" "01:09:00" 0.298 0.094 242.21 1.2 0 0 0
"71" "1/2/2007" "01:10:00" 0.296 0.096 242.61 1.2 0 0 0
"72" "1/2/2007" "01:11:00" 0.296 0.094 242.24 1.2 0 0 0
"73" "1/2/2007" "01:12:00" 0.258 0 242.66 1 0 0 0
"74" "1/2/2007" "01:13:00" 0.226 0 242.99 1 0 0 0
"75" "1/2/2007" "01:14:00" 0.228 0 243.53 1 0 0 0
"76" "1/2/2007" "01:15:00" 0.316 0.088 243.12 1.4 0 0 0
"77" "1/2/2007" "01:16:00" 0.434 0.252 242.83 2.2 0 0 0
"78" "1/2/2007" "01:17:00" 0.418 0.254 243.08 2 0 2 0
"79" "1/2/2007" "01:18:00" 0.414 0.254 243.35 2 0 1 0
"80" "1/2/2007" "01:19:00" 0.412 0.252 242.71 2 0 1 0
"81" "1/2/2007" "01:20:00" 0.41 0.246 241.63 2 0 2 0
"82" "1/2/2007" "01:21:00" 0.408 0.246 241.86 2 0 1 0
"83" "1/2/2007" "01:22:00" 0.408 0.248 242.17 2 0 2 0
"84" "1/2/2007" "01:23:00" 0.404 0.244 241.7 2 0 1 0
"85" "1/2/2007" "01:24:00" 0.402 0.242 241.14 1.8 0 1 0
"86" "1/2/2007" "01:25:00" 0.402 0.244 241.41 1.8 0 2 0
"87" "1/2/2007" "01:26:00" 0.402 0.246 241.95 1.8 0 1 0
"88" "1/2/2007" "01:27:00" 0.402 0.248 242.36 1.8 0 2 0
"89" "1/2/2007" "01:28:00" 0.402 0.25 242.6 1.8 0 1 0
"90" "1/2/2007" "01:29:00" 0.398 0.246 242.11 1.8 0 1 0
"91" "1/2/2007" "01:30:00" 0.336 0.156 241.88 1.6 0 2 0
"92" "1/2/2007" "01:31:00" 0.3 0.104 240.78 1.2 0 1 0
"93" "1/2/2007" "01:32:00" 0.3 0.104 240.68 1.2 0 1 0
"94" "1/2/2007" "01:33:00" 0.3 0.106 240.87 1.2 0 2 0
"95" "1/2/2007" "01:34:00" 0.298 0.106 241 1.2 0 1 0
"96" "1/2/2007" "01:35:00" 0.298 0.106 240.97 1.2 0 1 0
"97" "1/2/2007" "01:36:00" 0.298 0.106 241.09 1.2 0 1 0
"98" "1/2/2007" "01:37:00" 0.298 0.106 241.1 1.2 0 2 0
"99" "1/2/2007" "01:38:00" 0.298 0.106 241.21 1.2 0 1 0
"100" "1/2/2007" "01:39:00" 0.296 0.106 241.27 1.2 0 1 0
"101" "1/2/2007" "01:40:00" 0.296 0.108 241.4 1.2 0 1 0
"102" "1/2/2007" "01:41:00" 0.296 0.108 241.61 1.2 0 1 0
"103" "1/2/2007" "01:42:00" 0.296 0.106 241.37 1.2 0 2 0
"104" "1/2/2007" "01:43:00" 0.294 0.106 240.99 1.2 0 1 0
"105" "1/2/2007" "01:44:00" 0.294 0.106 241.27 1.2 0 1 0
"106" "1/2/2007" "01:45:00" 0.242 0 241.26 1 0 0 0
"107" "1/2/2007" "01:46:00" 0.224 0 241.76 1 0 0 0
"108" "1/2/2007" "01:47:00" 0.224 0 242.38 1 0 0 0
"109" "1/2/2007" "01:48:00" 0.224 0 242.15 1 0 0 0
"110" "1/2/2007" "01:49:00" 0.288 0.05 241.69 1.4 0 0 0
"111" "1/2/2007" "01:50:00" 0.298 0.088 241.02 1.2 0 0 0
"112" "1/2/2007" "01:51:00" 0.298 0.088 240.75 1.2 0 0 0
"113" "1/2/2007" "01:52:00" 0.298 0.088 241.06 1.2 0 0 0
"114" "1/2/2007" "01:53:00" 0.3 0.09 241.57 1.2 0 0 0
"115" "1/2/2007" "01:54:00" 0.3 0.094 242.29 1.2 0 0 0
"116" "1/2/2007" "01:55:00" 0.3 0.096 242.77 1.2 0 0 0
"117" "1/2/2007" "01:56:00" 0.386 0.19 242.48 1.8 0 0 0
"118" "1/2/2007" "01:57:00" 0.406 0.228 242.24 1.8 0 0 0
"119" "1/2/2007" "01:58:00" 0.398 0.222 242.11 1.8 0 0 0
"120" "1/2/2007" "01:59:00" 0.326 0.116 240.55 1.4 0 0 0
"121" "1/2/2007" "02:00:00" 0.324 0.116 240.33 1.4 0 0 0
"122" "1/2/2007" "02:01:00" 0.328 0.126 242.57 1.4 0 0 0
"123" "1/2/2007" "02:02:00" 0.328 0.13 243.12 1.4 0 0 0
"124" "1/2/2007" "02:03:00" 0.326 0.128 243.05 1.4 0 0 0
"125" "1/2/2007" "02:04:00" 0.324 0.128 243.09 1.4 0 0 0
"126" "1/2/2007" "02:05:00" 0.322 0.124 242.07 1.4 0 0 0
"127" "1/2/2007" "02:06:00" 0.322 0.124 242.21 1.4 0 0 0
"128" "1/2/2007" "02:07:00" 0.322 0.126 242.47 1.4 0 0 0
"129" "1/2/2007" "02:08:00" 0.322 0.126 242.57 1.4 0 0 0
"130" "1/2/2007" "02:09:00" 0.322 0.128 243.08 1.4 0 0 0
"131" "1/2/2007" "02:10:00" 0.322 0.13 243.28 1.4 0 0 0
"132" "1/2/2007" "02:11:00" 0.242 0 243.52 1 0 0 0
"133" "1/2/2007" "02:12:00" 0.228 0 244.09 1 0 0 0
"134" "1/2/2007" "02:13:00" 0.228 0 244.02 1 0 0 0
"135" "1/2/2007" "02:14:00" 0.228 0 244.02 1 0 0 0
"136" "1/2/2007" "02:15:00" 0.226 0 243.25 1 0 0 0
"137" "1/2/2007" "02:16:00" 0.226 0 243.06 1 0 0 0
"138" "1/2/2007" "02:17:00" 0.228 0 243.38 1 0 0 0
"139" "1/2/2007" "02:18:00" 0.228 0 243.91 1 0 0 0
"140" "1/2/2007" "02:19:00" 0.228 0 243.93 1 0 0 0
"141" "1/2/2007" "02:20:00" 0.228 0 243.55 1 0 0 0
"142" "1/2/2007" "02:21:00" 0.228 0 243.45 1 0 0 0
"143" "1/2/2007" "02:22:00" 0.226 0 242.42 1 0 0 0
"144" "1/2/2007" "02:23:00" 0.226 0 243.14 1 0 0 0
"145" "1/2/2007" "02:24:00" 0.228 0 243.37 1 0 0 0
"146" "1/2/2007" "02:25:00" 0.228 0 243.53 1 0 0 0
"147" "1/2/2007" "02:26:00" 0.226 0 243.22 1 0 0 0
"148" "1/2/2007" "02:27:00" 0.228 0 243.57 1 0 0 0
"149" "1/2/2007" "02:28:00" 0.228 0 243.76 1 0 0 0
"150" "1/2/2007" "02:29:00" 0.226 0 243.36 1 0 0 0
"151" "1/2/2007" "02:30:00" 0.226 0 243.17 1 0 0 0
"152" "1/2/2007" "02:31:00" 0.228 0 243.58 1 0 0 0
"153" "1/2/2007" "02:32:00" 0.228 0 244.1 1 0 0 0
"154" "1/2/2007" "02:33:00" 0.23 0 244.55 1 0 0 0
"155" "1/2/2007" "02:34:00" 0.23 0 244.98 1 0 0 0
"156" "1/2/2007" "02:35:00" 0.228 0 244.36 1 0 0 0
"157" "1/2/2007" "02:36:00" 0.292 0.06 244.42 1.4 0 0 0
"158" "1/2/2007" "02:37:00" 0.388 0.19 243.85 1.8 0 0 0
"159" "1/2/2007" "02:38:00" 0.416 0.238 243.83 2 0 0 0
"160" "1/2/2007" "02:39:00" 0.416 0.244 243.73 2 0 0 0
"161" "1/2/2007" "02:40:00" 0.436 0.276 244.66 2 0 0 0
"162" "1/2/2007" "02:41:00" 0.436 0.28 245.02 2 0 0 0
"163" "1/2/2007" "02:42:00" 0.432 0.28 245.06 2 0 0 0
"164" "1/2/2007" "02:43:00" 0.426 0.272 244.04 2 0 0 0
"165" "1/2/2007" "02:44:00" 0.424 0.27 243.58 2 0 0 0
"166" "1/2/2007" "02:45:00" 0.42 0.268 243.42 2 0 0 0
"167" "1/2/2007" "02:46:00" 0.35 0.16 243.19 1.6 0 0 0
"168" "1/2/2007" "02:47:00" 0.35 0.164 243.9 1.6 0 0 0
"169" "1/2/2007" "02:48:00" 0.348 0.162 243.6 1.6 0 0 0
"170" "1/2/2007" "02:49:00" 0.346 0.16 243.04 1.6 0 0 0
"171" "1/2/2007" "02:50:00" 0.346 0.162 243.44 1.6 0 0 0
"172" "1/2/2007" "02:51:00" 0.346 0.162 243.35 1.6 0 0 0
"173" "1/2/2007" "02:52:00" 0.256 0 243.34 1 0 0 0
"174" "1/2/2007" "02:53:00" 0.252 0 243.21 1 0 0 0
"175" "1/2/2007" "02:54:00" 0.252 0 242.96 1 0 0 0
"176" "1/2/2007" "02:55:00" 0.252 0 243.33 1 0 0 0
"177" "1/2/2007" "02:56:00" 0.252 0 243.16 1 0 0 0
"178" "1/2/2007" "02:57:00" 0.25 0 242.77 1 0 0 0
"179" "1/2/2007" "02:58:00" 0.252 0 243.36 1 0 0 0
"180" "1/2/2007" "02:59:00" 0.252 0 243.38 1 0 0 0
"181" "1/2/2007" "03:00:00" 0.252 0 243.5 1 0 0 0
"182" "1/2/2007" "03:01:00" 0.252 0 243.57 1 0 0 0
"183" "1/2/2007" "03:02:00" 0.254 0 244.24 1 0 0 0
"184" "1/2/2007" "03:03:00" 0.254 0 244.22 1 0 0 0
"185" "1/2/2007" "03:04:00" 0.254 0 243.99 1 0 0 0
"186" "1/2/2007" "03:05:00" 0.252 0 243.44 1 0 0 0
"187" "1/2/2007" "03:06:00" 0.252 0 243.4 1 0 0 0
"188" "1/2/2007" "03:07:00" 0.252 0 243.49 1 0 0 0
"189" "1/2/2007" "03:08:00" 0.252 0 243.55 1 0 0 0
"190" "1/2/2007" "03:09:00" 0.252 0 243.19 1 0 0 0
"191" "1/2/2007" "03:10:00" 0.254 0 243.74 1 0 0 0
"192" "1/2/2007" "03:11:00" 0.254 0 244.11 1 0 0 0
"193" "1/2/2007" "03:12:00" 0.25 0 242.84 1 0 0 0
"194" "1/2/2007" "03:13:00" 0.25 0 242.81 1 0 0 0
"195" "1/2/2007" "03:14:00" 0.25 0 242.48 1 0 0 0
"196" "1/2/2007" "03:15:00" 0.25 0 242.5 1 0 0 0
"197" "1/2/2007" "03:16:00" 0.25 0 242.76 1 0 0 0
"198" "1/2/2007" "03:17:00" 0.25 0 242.92 1 0 0 0
"199" "1/2/2007" "03:18:00" 0.368 0.15 242.49 1.6 0 0 0
"200" "1/2/2007" "03:19:00" 0.36 0.158 242.86 1.6 0 0 0
"201" "1/2/2007" "03:20:00" 0.358 0.162 243.33 1.6 0 0 0
"202" "1/2/2007" "03:21:00" 0.358 0.162 243.53 1.6 0 0 0
"203" "1/2/2007" "03:22:00" 0.356 0.162 243.44 1.6 0 0 0
"204" "1/2/2007" "03:23:00" 0.386 0.184 243.53 1.8 0 0 0
"205" "1/2/2007" "03:24:00" 0.406 0.234 243 1.8 0 0 0
"206" "1/2/2007" "03:25:00" 0.404 0.238 243.8 1.8 0 0 0
"207" "1/2/2007" "03:26:00" 0.402 0.236 243.5 1.8 0 0 0
"208" "1/2/2007" "03:27:00" 0.4 0.234 243.13 1.8 0 0 0
"209" "1/2/2007" "03:28:00" 0.4 0.234 243.34 1.8 0 0 0
"210" "1/2/2007" "03:29:00" 0.398 0.236 243.51 1.8 0 0 0
"211" "1/2/2007" "03:30:00" 0.396 0.238 243.86 1.8 0 0 0
"212" "1/2/2007" "03:31:00" 0.392 0.234 243.03 1.8 0 0 0
"213" "1/2/2007" "03:32:00" 0.346 0.166 242.99 1.6 0 0 0
"214" "1/2/2007" "03:33:00" 0.258 0 243.12 1 0 0 0
"215" "1/2/2007" "03:34:00" 0.224 0 242.06 1 0 0 0
"216" "1/2/2007" "03:35:00" 0.224 0 241.77 1 0 0 0
"217" "1/2/2007" "03:36:00" 0.226 0 242.34 1 0 0 0
"218" "1/2/2007" "03:37:00" 0.228 0 243.26 1 0 0 0
"219" "1/2/2007" "03:38:00" 0.228 0 243.71 1 0 0 0
"220" "1/2/2007" "03:39:00" 0.23 0 244.83 1 0 0 0
"221" "1/2/2007" "03:40:00" 0.23 0 244.69 1 0 0 0
"222" "1/2/2007" "03:41:00" 0.23 0 244.55 1 0 0 0
"223" "1/2/2007" "03:42:00" 0.23 0 244.38 1 0 0 0
"224" "1/2/2007" "03:43:00" 0.23 0 244.4 1 0 0 0
"225" "1/2/2007" "03:44:00" 0.228 0 244.16 1 0 0 0
"226" "1/2/2007" "03:45:00" 0.268 0 244.21 1.4 0 0 0
"227" "1/2/2007" "03:46:00" 0.312 0.12 244.13 1.4 0 1 0
"228" "1/2/2007" "03:47:00" 0.312 0.12 244.22 1.4 0 1 0
"229" "1/2/2007" "03:48:00" 0.312 0.118 243.96 1.4 0 2 0
"230" "1/2/2007" "03:49:00" 0.312 0.116 243.48 1.4 0 1 0
"231" "1/2/2007" "03:50:00" 0.312 0.118 243.84 1.4 0 2 0
"232" "1/2/2007" "03:51:00" 0.314 0.12 243.92 1.4 0 1 0
"233" "1/2/2007" "03:52:00" 0.314 0.122 244.5 1.4 0 1 0
"234" "1/2/2007" "03:53:00" 0.314 0.122 244.6 1.4 0 2 0
"235" "1/2/2007" "03:54:00" 0.314 0.122 244.56 1.4 0 1 0
"236" "1/2/2007" "03:55:00" 0.312 0.12 243.91 1.4 0 2 0
"237" "1/2/2007" "03:56:00" 0.31 0.116 243.55 1.4 0 1 0
"238" "1/2/2007" "03:57:00" 0.31 0.116 243.58 1.4 0 1 0
"239" "1/2/2007" "03:58:00" 0.308 0.112 242.74 1.4 0 2 0
"240" "1/2/2007" "03:59:00" 0.412 0.228 242.72 2 0 1 0
"241" "1/2/2007" "04:00:00" 0.416 0.25 242.71 2 0 1 0
"242" "1/2/2007" "04:01:00" 0.41 0.248 242.32 2 0 2 0
"243" "1/2/2007" "04:02:00" 0.408 0.248 242.36 2 0 1 0
"244" "1/2/2007" "04:03:00" 0.406 0.246 242.12 2 0 1 0
"245" "1/2/2007" "04:04:00" 0.404 0.248 242.18 2 0 2 0
"246" "1/2/2007" "04:05:00" 0.402 0.248 242.22 1.8 0 1 0
"247" "1/2/2007" "04:06:00" 0.4 0.246 241.98 1.8 0 1 0
"248" "1/2/2007" "04:07:00" 0.398 0.246 242.09 1.8 0 1 0
"249" "1/2/2007" "04:08:00" 0.396 0.246 241.92 1.8 0 1 0
"250" "1/2/2007" "04:09:00" 0.396 0.25 242.61 1.8 0 2 0
"251" "1/2/2007" "04:10:00" 0.396 0.252 242.99 1.8 0 1 0
"252" "1/2/2007" "04:11:00" 0.432 0.28 243.06 2.2 0 1 0
"253" "1/2/2007" "04:12:00" 0.47 0.358 242.94 2.4 0 1 0
"254" "1/2/2007" "04:13:00" 0.428 0.296 243.07 2.2 0 2 0
"255" "1/2/2007" "04:14:00" 0.348 0.17 242.85 1.6 0 0 0
"256" "1/2/2007" "04:15:00" 0.304 0.094 242.73 1.2 0 0 0
"257" "1/2/2007" "04:16:00" 0.302 0.094 242.65 1.2 0 0 0
"258" "1/2/2007" "04:17:00" 0.302 0.096 243.08 1.2 0 0 0
"259" "1/2/2007" "04:18:00" 0.3 0.1 243.6 1.2 0 0 0
"260" "1/2/2007" "04:19:00" 0.298 0.096 243.05 1.2 0 0 0
"261" "1/2/2007" "04:20:00" 0.292 0.086 243.38 1.2 0 0 0
"262" "1/2/2007" "04:21:00" 0.228 0 243.82 1 0 0 0
"263" "1/2/2007" "04:22:00" 0.228 0 243.73 1 0 0 0
"264" "1/2/2007" "04:23:00" 0.23 0 244.26 1 0 0 0
"265" "1/2/2007" "04:24:00" 0.23 0 244.98 1 0 0 0
"266" "1/2/2007" "04:25:00" 0.23 0 244.95 1 0 0 0
"267" "1/2/2007" "04:26:00" 0.234 0 244.3 1 0 0 0
"268" "1/2/2007" "04:27:00" 0.25 0 243.73 1 0 0 0
"269" "1/2/2007" "04:28:00" 0.25 0 243.23 1 0 0 0
"270" "1/2/2007" "04:29:00" 0.226 0 242.83 1 0 0 0
"271" "1/2/2007" "04:30:00" 0.226 0 242.75 1 0 0 0
"272" "1/2/2007" "04:31:00" 0.226 0 243 1 0 0 0
"273" "1/2/2007" "04:32:00" 0.228 0 243.3 1 0 0 0
"274" "1/2/2007" "04:33:00" 0.228 0 243.4 1 0 0 0
"275" "1/2/2007" "04:34:00" 0.226 0 242.69 1 0 0 0
"276" "1/2/2007" "04:35:00" 0.226 0 242.31 1 0 0 0
"277" "1/2/2007" "04:36:00" 0.224 0 242.16 1 0 0 0
"278" "1/2/2007" "04:37:00" 0.224 0 242.13 1 0 0 0
"279" "1/2/2007" "04:38:00" 0.224 0 242.02 1 0 0 0
"280" "1/2/2007" "04:39:00" 0.226 0 242.49 1 0 0 0
"281" "1/2/2007" "04:40:00" 0.32 0.09 243.16 1.4 0 0 0
"282" "1/2/2007" "04:41:00" 0.338 0.128 243.11 1.4 0 0 0
"283" "1/2/2007" "04:42:00" 0.332 0.122 242.15 1.4 0 0 0
"284" "1/2/2007" "04:43:00" 0.33 0.124 242.26 1.4 0 0 0
"285" "1/2/2007" "04:44:00" 0.328 0.124 242.18 1.4 0 0 0
"286" "1/2/2007" "04:45:00" 0.326 0.122 242.01 1.4 0 0 0
"287" "1/2/2007" "04:46:00" 0.326 0.122 242.01 1.4 0 0 0
"288" "1/2/2007" "04:47:00" 0.324 0.12 241.67 1.4 0 0 0
"289" "1/2/2007" "04:48:00" 0.322 0.12 241.5 1.4 0 0 0
"290" "1/2/2007" "04:49:00" 0.32 0.12 241.37 1.4 0 0 0
"291" "1/2/2007" "04:50:00" 0.32 0.122 241.78 1.4 0 0 0
"292" "1/2/2007" "04:51:00" 0.32 0.124 242.27 1.4 0 0 0
"293" "1/2/2007" "04:52:00" 0.32 0.12 241.88 1.4 0 0 0
"294" "1/2/2007" "04:53:00" 0.318 0.12 241.81 1.4 0 0 0
"295" "1/2/2007" "04:54:00" 0.27 0.052 241.92 1.2 0 0 0
"296" "1/2/2007" "04:55:00" 0.224 0 241.68 1 0 0 0
"297" "1/2/2007" "04:56:00" 0.224 0 241.38 1 0 0 0
"298" "1/2/2007" "04:57:00" 0.222 0 240.58 1 0 0 0
"299" "1/2/2007" "04:58:00" 0.222 0 240.81 1 0 0 0
"300" "1/2/2007" "04:59:00" 0.288 0.048 241.04 1.4 0 0 0
"301" "1/2/2007" "05:00:00" 0.3 0.09 241.54 1.2 0 0 0
"302" "1/2/2007" "05:01:00" 0.3 0.088 241.42 1.2 0 0 0
"303" "1/2/2007" "05:02:00" 0.3 0.088 241.45 1.2 0 0 0
"304" "1/2/2007" "05:03:00" 0.298 0.086 240.86 1.2 0 0 0
"305" "1/2/2007" "05:04:00" 0.294 0.084 239.84 1.2 0 0 0
"306" "1/2/2007" "05:05:00" 0.294 0.082 239.5 1.2 0 0 0
"307" "1/2/2007" "05:06:00" 0.292 0.082 239.82 1.2 0 0 0
"308" "1/2/2007" "05:07:00" 0.292 0.082 239.82 1.2 0 0 0
"309" "1/2/2007" "05:08:00" 0.248 0 240.78 1 0 0 0
"310" "1/2/2007" "05:09:00" 0.222 0 240.92 1 0 0 0
"311" "1/2/2007" "05:10:00" 0.222 0 240.74 1 0 0 0
"312" "1/2/2007" "05:11:00" 0.222 0 241.15 1 0 0 0
"313" "1/2/2007" "05:12:00" 0.224 0 241.37 1 0 0 0
"314" "1/2/2007" "05:13:00" 0.224 0 241.71 1 0 0 0
"315" "1/2/2007" "05:14:00" 0.226 0 242.68 1 0 0 0
"316" "1/2/2007" "05:15:00" 0.226 0 243.11 1 0 0 0
"317" "1/2/2007" "05:16:00" 0.226 0 243.06 1 0 0 0
"318" "1/2/2007" "05:17:00" 0.226 0 243.01 1 0 0 0
"319" "1/2/2007" "05:18:00" 0.226 0 242.77 1 0 0 0
"320" "1/2/2007" "05:19:00" 0.224 0 241.51 1 0 0 0
"321" "1/2/2007" "05:20:00" 0.224 0 241.42 1 0 0 0
"322" "1/2/2007" "05:21:00" 0.3 0.062 240.77 1.4 0 0 0
"323" "1/2/2007" "05:22:00" 0.334 0.116 240.81 1.4 0 0 0
"324" "1/2/2007" "05:23:00" 0.33 0.116 240.95 1.4 0 0 0
"325" "1/2/2007" "05:24:00" 0.328 0.12 241.43 1.4 0 0 0
"326" "1/2/2007" "05:25:00" 0.328 0.12 241.52 1.4 0 0 0
"327" "1/2/2007" "05:26:00" 0.326 0.12 241.49 1.4 0 0 0
"328" "1/2/2007" "05:27:00" 0.324 0.118 240.89 1.4 0 0 0
"329" "1/2/2007" "05:28:00" 0.322 0.118 240.91 1.4 0 0 0
"330" "1/2/2007" "05:29:00" 0.322 0.122 241.85 1.4 0 0 0
"331" "1/2/2007" "05:30:00" 0.32 0.118 241.11 1.4 0 0 0
"332" "1/2/2007" "05:31:00" 0.318 0.118 240.93 1.4 0 0 0
"333" "1/2/2007" "05:32:00" 0.318 0.118 240.88 1.4 0 0 0
"334" "1/2/2007" "05:33:00" 0.316 0.116 240.67 1.4 0 0 0
"335" "1/2/2007" "05:34:00" 0.316 0.114 240.34 1.4 0 0 0
"336" "1/2/2007" "05:35:00" 0.27 0.052 240.2 1.2 0 0 0
"337" "1/2/2007" "05:36:00" 0.222 0 240.62 1 0 0 0
"338" "1/2/2007" "05:37:00" 1.138 0 240.1 5 0 0 13
"339" "1/2/2007" "05:38:00" 1.32 0 239.79 5.4 0 0 19
"340" "1/2/2007" "05:39:00" 1.302 0 239.36 5.4 0 0 18
"341" "1/2/2007" "05:40:00" 1.29 0 239.25 5.4 0 0 17
"342" "1/2/2007" "05:41:00" 1.278 0 238.56 5.2 0 0 18
"343" "1/2/2007" "05:42:00" 1.276 0 238.61 5.2 0 0 18
"344" "1/2/2007" "05:43:00" 1.282 0 239.31 5.2 0 0 17
"345" "1/2/2007" "05:44:00" 1.284 0 239.56 5.2 0 0 18
"346" "1/2/2007" "05:45:00" 1.29 0 240.29 5.2 0 0 18
"347" "1/2/2007" "05:46:00" 1.29 0 240.3 5.2 0 0 17
"348" "1/2/2007" "05:47:00" 1.336 0 239.67 5.6 0 0 18
"349" "1/2/2007" "05:48:00" 1.354 0.072 239.52 5.6 0 0 18
"350" "1/2/2007" "05:49:00" 1.35 0.072 239.02 5.6 0 0 17
"351" "1/2/2007" "05:50:00" 1.34 0.068 238.15 5.6 0 0 18
"352" "1/2/2007" "05:51:00" 1.342 0.068 238.35 5.6 0 0 17
